Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Батончик Bombbar Кето Миндальная нуга с ванилью,20.0,35.0,10.2,484
Батончик Bombbar Кето Тропический кокос и миндаль,20.0,35.0,10.0,484
Батончик Bombbar Кето Шоколадное парфе с миндалем,20.0,35.0,11.0,486
Батончик Bombbar протеиновый Грецкий орех с медом,20.0,6.3,2.2,148
Батончик Bombbar протеиновый Датский бисквит,33.0,8.5,8.0,292
Батончик Bombbar протеиновый Шоколад,20.0,5.7,6.1,156
Батончик BSN Syntha-6 Decadence,31.6,12.6,44.2,389
Батончик Dymatize Elite XT Gourmet Protein Bar 42,35.3,11.8,40.0,376
Батончик Dymatize Elite XT Gourmet Protein Bar 85,37.6,14.1,24.7,412
Батончик Energy System Perform-Bar,10.0,5.0,73.0,374
Батончик FITKIT Extra Protein Bar Almond Latte (Миндальный Латте),27.2,12.7,27.2,327
Батончик FITKIT Extra Protein Bar Banana Flambe (Банановый Фламбе),27.2,12.7,27.2,327
Батончик FITKIT Extra Protein Bar Cherry Brownie (Вишневый Брауни),27.2,14.5,27.2,345
Батончик FITKIT Extra Protein Bar Pina Colada (Пина Колада),27.3,12.7,27.3,327
Батончик FITKIT Extra Protein Bar Triple Chocolate (Тройной Шоколад),27.3,14.5,27.3,345
Батончик FITKIT Protein Bar Coconut Souffle (Кокосовое Суфле),25.0,7.2,20.0,265
Батончик FITKIT Protein Bar Double Chocolate (Двойной Шоколад),25.0,7.5,20.0,268
Батончик FITKIT Protein Bar Hazelnut-Chocolate (Шоколад-Фундук),25.0,7.5,20.0,268
Батончик FITKIT Protein Bar Mango-Passion Fruit (Манго-Маракуйя),25.0,6.6,20.0,260
Батончик FITKIT Protein Bar Mocaccino (Моккачино),25.0,7.5,20.0,268
Батончик FITKIT Protein Bar Peanut Cake (Арахисовый Торт),25.0,7.0,20.0,263
Батончик FITKIT Protein Bar Pistachio Ice Cream (Фисташковый Пломбир),25.0,6.7,20.0,260
Батончик FITKIT Protein Bar Raspberry Cheesecake (Малиновый Чизкейк),25.0,6.6,20.0,260
Батончик FITKIT Protein Bar Salted Caramel (Солёная Карамель),25.0,6.7,20.0,260
Батончик FITKIT Protein Bar Strawberry Trifle (Клубничный Трайфл),25.0,6.6,20.0,260
Батончик Herbalife Протеиновый,29.0,8.6,46.0,383
Батончик Herbalife Формула 1 Экспресс,23.7,10.7,37.1,369
Батончик Ironman Slim Bar протеиновый с L-карнитином,14.0,8.0,48.0,320
Батончик Multipower 32% Protein Pack,31.7,11.0,45.0,407
Батончик Multipower Crunch Fit,15.8,14.7,55.6,419
Батончик Multipower Energate!,20.0,21.7,42.9,451
Батончик Multipower L-Carnitine Bar,25.0,8.6,38.0,348
Батончик Multipower Power Pack,28.6,10.6,45.7,389
Батончик MyProtein My Bar Zero,31.0,9.5,3.9,304
Батончик Nattys&Go! Brownie с арахисовой пастой и какао,16.0,35.0,45.0,540
Батончик Nattys&Go! Protein с арахисовой пастой,21.0,30.0,39.0,500
Батончик Nattys&Go! с кокосом,9.0,41.0,51.0,600
Батончик Optimum 100% Whey Crisp Bar,37.1,3.6,48.6,357
Батончик Optimum Complete Protein Diet Bar,40.0,6.0,36.0,360
Батончик Optimum Optimal Protein Diet Bar,40.0,5.0,46.0,360
Батончик Performance Bar,5.9,19.3,60.4,439
Батончик Power Pro с арахисом и карамелью с нугой,16.6,18.6,15.6,350
Батончик Quest Bar протеиновый Шоколад с фундуком,33.3,13.3,6.6,317
Батончик Rocket Energy с кокосом и шоколадом,5.9,41.0,28.6,462
"Батончик Rocket Energy с чаем матча, кокосом и ананасом",3.5,42.8,28.6,467
Батончик Scitec Nutrition Jumbo Bar Double Chocolate Cookie,50.0,8.2,26.0,378
Батончик Леовит Худеем за неделю Мюсли Фенхель с зелёным чаем,4.2,12.4,59.2,367
Батончик Турбослим белковый для похудения,16.0,8.0,18.0,220
Батончик Ути-Booty протеиновый Кокосовый рай,33.3,7.6,6.2,280
Батончик Ути-Booty протеиновый Колумбийская кола,33.3,7.5,6.3,278
Батончик Ути-Booty протеиновый Шоколад-Мята,33.3,7.1,5.8,273
Борщ Леовит Худеем за неделю Сибирский с мясом,19.0,3.5,48.0,300
Вафли MyProtein Wafers,35.8,21.5,31.0,466
Гейнер BSN True-Mass,33.1,11.0,45.5,434
Гейнер BSN True-Mass 1200,16.1,5.2,71.9,397
Гейнер CytoSport Cyto Gainer,36.0,3.0,49.3,367
Гейнер CytoSport Monster Mass,33.3,11.3,47.3,427
Гейнер Dymatize Elite Mass Gainer,36.7,4.0,51.3,400
Гейнер Dymatize Elite Mega Gainer,21.4,5.7,63.6,393
Гейнер Dymatize Mega Gainer,24.0,5.6,71.2,432
Гейнер Dymatize Super Mass Gainer,15.6,2.4,75.4,383
Гейнер Gaspari Real Mass,15.4,1.1,76.9,378
Гейнер IronMaxx Titan V.2.0,24.3,2.0,63.0,388
Гейнер Max Power Big Muscle,13.9,0.5,75.6,368
Гейнер Muscletech 100% Premium Mass Gainer,14.5,0.8,75.7,254
Гейнер Muscletech Mass Tech Hardcore Pro,23.3,1.5,68.3,379
Гейнер Muscletech Mass Tech Performance,25.0,3.5,69.0,392
Гейнер Optimum Pro Complex Gainer,37.7,5.0,53.5,409
Гейнер Optimum Serious Mass,15.0,1.0,76.0,374
Гейнер Performance Amino Gainer,30.8,4.2,51.7,362
Гейнер Performance Turbo Mass Gainer,21.3,2.6,62.9,360
Гейнер Ultimate Iso Mass Xtreme Gainer,42.5,4.6,52.3,425
Гейнер Ultimate Magic Milk,42.7,24.0,16.0,467
Гейнер Ultimate Massive Whey Gainer,33.3,2.4,56.4,381
Гейнер Ultimate Muscle Juice 2544,22.0,7.2,60.8,396
Гейнер Ultimate Muscle Juice Revolution 2600,21.1,5.3,64.2,385
Джем Bombbar низкокалорийный груша-корица,0.5,0.1,4.0,19
Джем Bombbar низкокалорийный манго-банан,0.5,0.1,4.0,19
Завтрак сухой Geneticlab True Breakfast,50.0,2.0,32.0,352
Изолят соевого белка,90.1,0.2,3.9,380
